Country,Year,Meningitis,Neoplasms,Malaria,Drowning,Interpersonal_violence,HIV,Drug_use_disorders,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders,Diarrheal,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular,Kidney_disease,Respiratory_diseases,Liver_diseases,Digestive_diseases,Alzheimer_disease,Parkinson_disease,Total_death_per_year
Jordan,2019,83,5643,0,129,352,27,17,1262,76,1054,17,68,18,260,2053,60,11798,1813,856,644,1102,767,192,28291
Kazakhstan,2009,221,20594,0,1204,2340,306,596,4029,105,3887,2353,133,116,5494,1322,645,77491,1340,5983,6345,8904,1775,560,145743
Kazakhstan,2010,209,20891,0,1189,2251,311,583,3970,83,3863,2245,118,123,5413,1390,628,77003,1375,6338,6832,9412,1810,579,146616
Kazakhstan,2011,203,20998,0,1123,2222,291,574,3873,69,3865,2126,104,130,5314,1467,604,75549,1427,6937,7357,9935,1845,600,146625
Kazakhstan,2012,191,21027,0,1098,2099,269,578,3792,62,3921,1992,91,133,5204,1596,589,73706,1513,7557,7703,10232,1868,620,145843
Kazakhstan,2013,181,20447,0,1053,1889,276,591,3625,62,4019,1787,80,126,5028,1688,560,71122,1626,7710,7361,9639,1930,639,141439
Kazakhstan,2014,170,20181,0,1014,1705,267,579,3402,57,4106,1677,72,123,4783,1841,536,68693,1697,8083,7181,9348,1993,653,138161
Kazakhstan,2015,157,20092,0,985,1741,290,585,3197,53,4235,1599,68,123,4579,2055,505,67080,1781,8644,7046,9162,2055,678,136710
Kazakhstan,2016,151,20350,0,935,1723,272,592,2997,54,4184,1599,65,126,4382,2355,481,65951,1817,9445,6913,9046,2130,715,136293
Kazakhstan,2017,144,20468,0,904,1546,270,581,2887,52,4289,1525,60,137,4272,2958,456,63040,1918,10962,6847,8979,2232,763,135290
Kazakhstan,2018,139,20896,0,897,1674,265,660,2758,54,4130,1626,60,125,4249,2664,462,65041,1887,10171,6767,8929,2263,750,136467
Kazakhstan,2019,136,21073,0,908,1752,261,749,2781,54,4013,1701,59,121,4275,2588,466,65391,1873,9772,6705,8896,2319,741,136634
Kuwait,2009,10,1076,0,22,35,4,13,519,6,417,6,7,1,97,279,18,3014,281,165,154,243,234,40,6641
Kuwait,2013,11,1152,0,20,25,2,17,498,5,541,7,6,1,105,242,16,2927,214,165,139,237,297,44,6671
Kuwait,2010,10,1026,0,20,31,3,13,471,4,418,6,6,1,92,249,16,2779,248,153,140,225,244,39,6194
Kuwait,2011,10,1039,0,19,25,2,14,462,5,446,6,6,1,93,240,15,2738,227,153,134,221,262,40,6158
Kuwait,2012,11,1106,0,20,24,3,17,492,3,498,7,6,1,103,247,16,2877,226,161,141,234,280,42,6515
Kuwait,2014,11,1203,0,20,31,2,18,507,6,580,7,6,1,108,244,17,2964,209,169,139,243,315,45,6845
Kuwait,2015,12,1255,0,21,34,3,19,523,3,577,8,6,1,113,261,17,3161,228,177,151,257,333,46,7234
Kuwait,2016,12,1347,0,21,36,3,20,537,3,603,9,6,1,118,283,17,3408,248,192,164,277,363,50,7719
Kuwait,2017,12,1439,0,22,38,3,21,551,3,622,9,6,1,123,306,18,3639,268,203,177,296,385,53,8195
Kuwait,2018,12,1545,0,22,40,3,22,564,3,643,10,6,1,128,335,18,3867,294,216,190,315,406,55,8695
Kuwait,2019,12,1653,0,23,42,3,23,583,3,668,10,6,1,135,365,19,4119,322,230,204,338,425,58,9242
Kyrgyzstan,2009,61,3499,1,312,393,131,96,1054,85,1155,388,180,13,650,258,93,18544,506,2075,2219,2551,576,130,34970
Kyrgyzstan,2010,56,3539,0,317,410,125,92,1064,82,1083,379,164,12,660,258,89,18139,489,1890,2231,2563,581,126,34349
Kyrgyzstan,2011,53,3626,0,308,378,146,85,1073,85,1010,370,153,12,659,263,86,17913,478,1723,2247,2577,593,121,33959
Kyrgyzstan,2012,52,3678,0,303,340,170,78,1082,81,977,360,147,11,656,264,84,17638,472,1598,2233,2562,603,117,33506
Kyrgyzstan,2013,52,3736,0,296,319,192,70,1093,69,966,353,142,10,639,273,81,17254,469,1489,2211,2537,625,114,32990
Kyrgyzstan,2014,54,3823,0,290,293,207,66,1081,77,927,354,139,8,632,285,79,17341,467,1462,2164,2492,650,115,33007
Kyrgyzstan,2015,54,3947,0,287,295,184,61,1061,71,880,354,129,9,612,294,78,17869,470,1466,2133,2462,669,119,33505
Kyrgyzstan,2016,41,3926,0,269,257,177,54,987,58,819,356,114,9,576,297,73,17342,454,1425,2030,2351,681,116,32413
Kyrgyzstan,2017,39,4020,0,263,247,175,55,972,59,780,364,104,8,574,310,72,17477,456,1434,2048,2374,689,116,32636
Kyrgyzstan,2018,38,4050,0,264,284,172,60,983,58,779,385,102,9,594,312,75,17290,472,1467,2090,2421,707,115,32727
Kyrgyzstan,2019,38,4150,0,265,297,170,63,987,57,772,403,94,9,600,322,77,17482,489,1513,2143,2482,723,115,33251
Laos,2009,375,3821,141,562,774,354,14,1226,479,5143,65,1972,363,430,1193,49,11104,1423,2467,1042,2194,371,109,35671
Laos,2010,349,3876,177,535,770,389,14,1201,449,4823,65,1855,334,425,1210,47,11205,1430,2452,1057,2202,385,112,35362
Laos,2011,325,3934,126,501,754,428,14,1177,425,4538,64,1748,307,420,1227,45,11281,1441,2438,1072,2211,398,114,34988
Laos,2012,305,4008,275,485,750,454,14,1152,396,4316,64,1659,286,415,1250,44,11418,1454,2435,1088,2222,411,117,35018
Laos,2013,240,4111,170,467,749,463,14,1150,383,4098,64,1573,268,420,1281,43,11624,1481,2444,1111,2248,426,120,34948
Laos,2014,221,4229,158,452,587,461,15,1154,373,3909,65,1485,251,428,1318,32,11845,1512,2461,1139,2283,443,124,34945
Laos,2015,207,4365,75,444,590,451,15,1130,361,3786,66,1415,238,434,1362,32,12123,1549,2493,1167,2320,460,129,35212
Laos,2016,195,4499,21,431,586,438,15,1129,351,3657,67,1334,226,440,1406,31,12390,1587,2520,1194,2355,477,133,35485
Laos,2017,180,4637,22,412,576,420,16,1118,339,3520,68,1271,213,442,1444,31,12709,1619,2555,1229,2406,495,138,35861
Laos,2018,171,4804,24,403,569,396,16,1111,327,3446,69,1192,206,439,1496,30,13096,1664,2606,1250,2432,513,144,36404
Laos,2019,162,4975,23,389,560,374,17,1096,315,3392,70,1117,201,430,1553,30,13523,1712,2663,1273,2464,529,151,37019
Lebanon,2009,39,5921,0,52,174,58,65,371,19,799,12,67,13,143,686,30,13590,924,1055,492,793,844,173,26337
Lebanon,2010,38,6105,0,52,176,60,68,376,19,818,12,66,14,146,710,30,13927,952,1071,501,808,884,181,27016
Lebanon,2011,39,6332,0,53,186,62,75,397,19,842,13,66,14,154,736,31,14393,980,1094,516,830,927,190,27950
Lebanon,2012,39,6547,0,56,262,63,83,426,20,864,13,66,14,166,757,33,14796,1002,1112,530,851,968,197,28874
Lebanon,2013,40,6740,0,59,353,62,92,449,21,882,14,65,15,175,779,34,15132,1027,1127,542,869,1009,203,29879
Lebanon,2014,40,6892,0,59,304,61,98,455,20,894,14,64,15,177,799,35,15416,1055,1140,551,883,1048,208,30362
Lebanon,2015,36,7016,0,59,346,61,103,445,20,894,14,63,15,177,815,35,15644,1083,1150,559,897,1088,212,30843
Lebanon,2016,35,7136,0,58,257,61,109,444,19,897,15,62,15,178,825,35,15843,1107,1159,568,912,1130,216,31106
Lebanon,2017,35,7254,0,57,443,61,115,442,18,901,15,62,15,178,834,35,16017,1129,1168,578,928,1173,219,31694
Lebanon,2018,34,7379,0,56,218,61,121,441,18,905,15,61,15,178,847,35,16168,1155,1176,587,944,1215,223,31852
Lebanon,2019,34,7493,0,55,216,61,127,441,17,910,15,61,15,176,859,35,16329,1180,1185,596,959,1255,226,32245
Malaysia,2010,272,21545,13,738,706,2145,92,6638,257,14516,149,1188,184,1347,2750,186,43711,4269,5686,3587,7839,2354,635,120807
Malaysia,2013,254,23242,8,686,645,2611,96,6422,231,17305,148,1095,182,1373,2516,174,44025,4424,5246,3691,7657,2672,678,125383
Malaysia,2014,268,24611,7,723,633,2622,102,6668,246,18556,153,1132,191,1447,2654,180,46359,4691,5518,3883,8015,2808,728,132196
Malaysia,2015,282,25722,5,752,619,2516,108,6840,249,19232,157,1169,200,1510,2820,185,48228,4895,5799,4033,8319,2951,768,137360
Malaysia,2016,279,27133,3,753,612,2340,116,7075,246,20107,162,1220,211,1596,3051,191,51106,5225,6259,4240,8807,3134,840,144712
Malaysia,2009,295,21279,18,773,714,2018,90,6653,272,13433,148,1044,187,1353,2921,188,43692,4116,5815,3475,7443,2335,612,118874
Malaysia,2011,267,22087,5,731,690,2358,94,6688,254,15740,149,1268,183,1365,2643,182,44186,4403,5632,3690,8092,2412,665,123784
Malaysia,2012,270,22923,5,734,674,2526,97,6703,247,17016,149,1152,187,1386,2594,181,44765,4451,5479,3700,7846,2558,686,126331
Malaysia,2017,282,28348,5,754,598,1939,123,7227,254,20555,167,1268,221,1661,3250,196,53286,5476,6603,4419,9205,3289,889,150019
Malaysia,2018,284,29603,5,755,586,1596,129,7314,255,20867,171,1298,227,1712,3467,199,55363,5719,6926,4573,9536,3468,936,154989
Malaysia,2019,291,31294,5,774,577,1521,138,7592,255,21711,176,1361,239,1803,3779,206,58824,6105,7473,4783,10072,3667,1019,163665
Maldives,2009,2,138,0,17,7,1,1,17,8,24,1,11,4,11,32,0,371,56,96,20,32,25,7,881
Maldives,2010,2,143,0,18,8,1,1,17,8,24,1,11,4,12,32,0,380,58,98,21,33,26,7,905
Maldives,2011,2,149,0,18,8,1,1,17,7,25,1,11,4,12,34,0,384,61,102,22,34,28,8,929
Maldives,2012,2,154,0,17,9,1,1,18,7,26,1,10,4,13,36,0,395,63,102,23,35,31,8,956
Maldives,2013,2,160,0,17,9,1,1,18,7,27,1,10,4,14,38,0,406,66,103,24,37,33,8,986
Maldives,2014,2,167,0,18,9,1,2,19,7,29,1,10,4,15,40,0,419,69,104,25,38,35,9,1023
Maldives,2015,2,173,0,18,10,1,2,19,7,30,1,11,4,16,42,0,430,72,104,26,40,37,9,1054
Maldives,2016,2,182,0,18,10,1,2,20,7,32,1,11,4,17,44,0,451,75,109,28,42,40,10,1106
Maldives,2017,2,192,0,19,10,1,2,21,7,33,1,11,5,18,46,0,474,79,113,29,45,42,10,1161
Maldives,2018,2,203,0,19,10,1,2,21,7,34,1,11,5,19,49,0,498,84,118,31,47,45,11,1218
Maldives,2019,2,214,0,20,10,1,2,22,7,35,1,11,5,20,52,0,522,89,123,33,49,48,11,1277
Mongolia,2009,32,4229,0,166,294,7,16,615,50,801,497,71,17,613,102,82,7769,304,388,1274,1722,131,38,19218
Mongolia,2010,30,4401,0,165,300,8,16,626,50,770,535,69,16,621,106,81,7891,305,386,1314,1769,134,38,19631
Mongolia,2011,29,4543,0,165,302,9,17,627,51,748,537,68,16,625,109,83,8023,312,389,1335,1795,142,40,19965
Mongolia,2012,29,4633,0,163,296,10,17,626,50,730,535,67,16,618,109,83,8009,315,385,1347,1808,148,40,20034
Mongolia,2013,29,4734,0,165,298,11,17,621,49,706,534,67,15,611,111,83,7973,317,379,1362,1826,156,40,20104
Mongolia,2014,28,4827,0,166,297,12,17,621,46,670,537,65,15,611,112,84,7903,320,373,1383,1848,163,39,20137
Mongolia,2015,26,4985,0,163,295,12,17,632,44,590,543,59,15,605,116,84,8060,328,376,1419,1887,172,40,20468
Mongolia,2016,25,5261,0,157,291,13,18,634,44,559,554,56,15,608,122,85,8571,346,400,1488,1975,189,45,21456
Mongolia,2017,25,5478,0,161,291,14,19,642,43,567,563,57,15,615,127,87,8922,359,415,1543,2046,199,47,22235
Mongolia,2018,24,5702,0,161,289,14,19,664,42,549,573,53,15,607,133,88,9299,373,431,1596,2110,212,49,23003
Mongolia,2019,24,5961,0,159,288,15,20,672,41,530,584,49,15,592,139,89,9806,391,453,1656,2185,225,53,23947
Myanmar,2009,3513,43614,11914,4278,767,16474,186,8034,1911,31004,394,12644,2123,2258,18131,1424,119782,10376,41529,18571,25082,4901,1344,380300
Myanmar,2010,3244,43756,11433,4072,762,16109,187,7732,1854,29136,387,11585,1990,2202,18278,1334,119762,10307,41273,18569,24865,5072,1370,375292
Myanmar,2011,3039,44331,8812,3895,758,15418,189,7592,1861,27715,386,10783,1887,2178,18591,1279,121071,10328,41466,18763,24922,5255,1401,371920
Myanmar,2012,2633,44636,9453,3641,877,14354,188,7264,1780,26232,380,9947,1784,2109,18832,1200,121857,10251,41504,18723,24704,5436,1431,369232
Myanmar,2013,2517,45665,5795,3598,806,13067,193,6995,1842,25305,381,9287,1707,2115,19336,1185,124067,10383,41818,18968,24850,5622,1465,366978
Myanmar,2014,2395,46697,2889,3450,771,11593,197,6937,1852,24448,381,8704,1637,2111,19844,1165,125861,10475,42173,19177,24971,5830,1503,365078
Myanmar,2015,2242,47791,1919,3378,773,9950,199,7086,1847,23602,382,8111,1567,2100,20443,1119,127955,10599,42535,19287,24983,6010,1545,365483
Myanmar,2016,1744,49178,975,3344,808,8294,203,7136,1845,22924,383,7740,1516,2116,21127,1116,130207,10759,43114,19419,25080,6200,1588,366889
Myanmar,2017,1500,50128,216,3261,756,6772,207,6483,1788,22385,385,7441,1463,2028,21585,1099,133165,11092,43004,19982,25593,6398,1631,368580
Myanmar,2018,1337,51238,271,3162,711,5605,212,5706,1726,21881,387,7005,1422,1943,22085,1071,135906,11436,42820,20371,25910,6597,1680,370482
Myanmar,2019,1246,52674,294,3052,704,4773,214,5739,1653,21453,388,6700,1386,1956,22619,1008,138139,11554,43284,20361,25895,6784,1726,373602
Nepal,2009,939,14455,32,1787,510,2253,24,2233,2246,13237,175,8195,2054,3078,1974,601,32632,3003,29614,6370,9132,1613,510,136687
Nepal,2010,868,15059,32,1722,512,2318,25,2288,2292,12380,180,7520,1894,3148,2107,587,33914,3200,30649,6510,9310,1695,538,138758
Nepal,2011,799,15766,0,1680,507,2369,27,2361,2329,11547,187,6998,1749,3233,2267,572,35537,3426,31987,6700,9559,1784,575,141975
Nepal,2012,749,16514,4,1631,512,2311,28,2428,2231,10868,194,6667,1639,3285,2438,561,37001,3672,33304,6887,9814,1871,613,145231
Nepal,2013,747,17293,8,1655,522,2204,29,2487,2156,10673,200,6552,1605,3306,2610,562,38551,3927,34563,7075,10081,1952,651,149412
Nepal,2014,711,18028,3,1509,527,2097,30,2531,2073,10239,205,6338,1525,3314,2775,549,39680,4191,35643,7230,10303,2032,687,152220
Nepal,2015,619,18805,7,1598,533,1968,32,2589,2029,9913,210,6173,1473,3364,2940,541,41124,4420,36850,7404,10543,2114,726,155975
Nepal,2016,563,19491,3,1570,540,1829,33,2629,1954,9552,215,6020,1425,3402,3088,531,42321,4615,37871,7540,10737,2195,761,158890
Nepal,2017,518,20175,1,1538,538,1703,34,2659,1872,9232,218,5992,1389,3426,3206,519,43710,4774,38874,7745,11035,2275,797,162234
Nepal,2018,484,20905,1,1493,536,1568,35,2691,1783,8898,223,5745,1326,3470,3343,506,45147,4946,39878,7841,11171,2362,837,165189
Nepal,2019,469,21609,1,1476,535,1434,36,2721,1714,8760,227,5627,1300,3528,3474,498,46501,5108,40800,7945,11323,2448,875,168409
North Korea,2010,357,36448,3,1853,871,361,269,8344,337,6952,354,452,452,2923,3694,455,88259,3872,28859,4762,8526,3311,1043,202757
North Korea,2011,345,36995,3,1722,868,372,275,8392,312,6920,359,431,446,2933,3754,457,90209,3934,29293,4832,8638,3479,1079,206048
North Korea,2012,299,37488,3,1762,862,365,282,8407,288,6892,363,409,441,2936,3805,456,91794,3992,29668,4893,8736,3658,1113,208912
North Korea,2013,276,37864,3,1704,862,399,288,8397,266,6854,366,387,435,2937,3839,454,93298,4040,29901,4930,8797,3834,1140,211271
North Korea,2014,265,38252,3,1551,866,488,296,8399,247,6839,369,371,432,2945,3874,454,94634,4087,30126,4967,8864,4029,1166,213524
North Korea,2015,255,38575,3,1508,864,583,303,8386,230,6820,371,352,429,2944,3898,451,96119,4125,30299,4983,8891,4228,1188,215805
North Korea,2016,247,39119,3,1493,858,658,311,8366,215,6845,374,338,430,2952,3944,450,97513,4179,30657,5034,8979,4472,1217,218654
North Korea,2009,371,35859,4,1796,881,354,263,8298,365,7001,349,476,461,2920,3625,455,86357,3801,28388,4691,8422,3155,1006,199298
North Korea,2017,238,39691,2,1426,847,708,320,8340,201,6886,377,326,433,2958,3978,448,99253,4223,31028,5106,9103,4719,1244,221855
North Korea,2018,230,40278,2,1388,836,740,329,8384,189,6935,381,305,437,2957,4022,446,100914,4269,31372,5134,9144,4964,1271,224927
North Korea,2019,223,40841,2,1352,827,761,338,8382,182,6998,384,289,443,2954,4066,445,102586,4318,31704,5171,9205,5208,1296,227975
Oman,2009,14,1079,0,113,22,63,11,1959,19,391,6,34,40,96,575,22,4534,156,245,240,305,142,52,10118
Oman,2015,16,1312,0,123,30,98,14,2080,17,452,8,37,43,113,714,24,5246,200,266,279,353,165,69,11659
Oman,2010,14,1112,0,114,23,71,11,2001,20,402,6,34,40,99,603,23,4698,165,248,244,309,147,54,10438
Oman,2011,15,1188,0,125,26,83,13,2197,19,416,7,35,41,112,641,25,4891,174,255,261,329,152,56,11061
Oman,2012,15,1255,0,129,30,93,15,2323,19,421,8,36,42,121,664,27,4979,179,258,278,348,157,57,11454
Oman,2013,15,1270,0,127,31,97,15,2243,18,435,8,37,42,118,675,26,5067,186,262,280,352,163,63,11530
Oman,2014,15,1273,0,123,30,97,14,2128,17,440,8,37,41,114,684,25,5087,192,261,275,348,165,66,11440
Oman,2016,16,1361,0,124,31,102,15,2100,17,464,8,38,44,115,742,24,5372,209,271,286,362,166,71,11938
Oman,2017,15,1387,0,122,31,105,16,2109,16,452,8,37,42,116,744,25,5372,209,267,289,365,164,68,11959
Oman,2018,14,1364,0,118,31,102,16,2067,15,419,8,36,39,116,711,24,5079,200,249,281,353,161,61,11464
Oman,2019,14,1368,0,115,30,98,17,2053,14,407,8,36,38,118,705,24,4998,199,244,279,350,163,60,11338
Pakistan,2009,25780,133173,4945,3325,13384,1043,762,15877,18007,80657,1665,99408,14369,13938,32859,2484,275938,33559,76536,37068,53403,8123,3209,950999
Pakistan,2012,20011,143873,9847,3347,13926,1775,822,16756,17444,77902,1774,95625,15033,14645,36807,2564,292618,36359,78053,38796,55573,8665,3427,988426
Pakistan,2014,20300,154842,3275,3581,12315,2418,863,18002,17559,77899,1897,90732,16120,15758,40172,2110,307223,39008,79506,40482,57615,9209,3642,1016941
Pakistan,2015,20247,159325,3922,3680,12516,2758,863,18341,17280,77245,1943,88656,16320,16121,41745,2141,313967,40165,80176,40981,58255,9488,3753,1031496
Pakistan,2016,20277,164509,4120,3707,12872,3072,866,18817,17144,76940,1999,86393,16908,16601,43530,2182,320769,41459,80844,41723,59261,9821,3871,1048798
Pakistan,2010,25486,136615,8828,3310,13706,1244,790,16171,17901,79711,1701,97611,14289,14138,34391,2500,281008,34575,76884,37671,54116,8288,3277,965910
Pakistan,2011,25279,139633,9551,3278,13772,1477,805,16381,17702,78627,1734,96761,14575,14355,35429,2505,286459,35323,77313,38202,54827,8456,3340,977460
Pakistan,2013,20160,149631,4013,3500,14225,2075,852,17400,17593,77903,1834,92577,15264,15219,38504,2649,300309,37657,78672,39779,56752,8920,3537,1001900
Pakistan,2017,19712,169459,5195,3667,13009,3402,859,19093,16851,74771,2050,85201,16934,16948,44724,2178,327940,42412,81619,42871,60809,10171,4000,1064951
Pakistan,2018,18475,174568,4242,3527,13250,3686,859,19142,16328,70042,2090,80264,15434,17246,46204,2121,334433,43348,82214,43375,61447,10564,4138,1066997
Pakistan,2019,17987,179773,4031,3478,13446,3949,867,19348,16162,68193,2142,77024,14631,17688,47693,2106,341108,44390,82758,44070,62351,10960,4273,1078428
Palestine,2009,54,1830,0,53,214,11,3,324,37,459,4,53,14,76,687,5,5153,627,391,271,401,232,62,10968
Palestine,2010,51,1921,0,49,236,11,3,311,34,442,4,52,13,74,742,5,5256,650,397,283,417,242,64,11257
Palestine,2011,42,2022,0,49,266,11,4,323,31,432,5,50,13,80,801,5,5342,657,403,295,432,252,66,11596
Palestine,2012,41,2083,0,55,316,12,4,363,30,429,5,47,13,92,817,5,5220,645,395,298,435,261,66,11644
Palestine,2013,37,2185,0,58,369,12,5,392,28,435,5,43,12,104,878,5,5278,633,401,307,446,272,68,11985
Palestine,2014,34,2345,0,55,429,12,6,368,24,455,6,41,12,109,1007,5,5647,640,430,320,467,286,75,12840
Palestine,2016,30,2575,0,49,360,13,6,382,22,484,6,35,12,111,1171,5,6162,617,453,333,488,308,84,13796
Palestine,2015,32,2489,0,52,388,12,6,379,22,474,6,37,12,108,1119,5,5972,630,450,328,479,298,81,13496
Palestine,2017,29,2670,0,47,328,13,7,373,22,486,6,33,12,112,1201,5,6339,610,459,339,498,315,87,14041
Palestine,2018,28,2777,0,47,316,13,7,376,21,493,6,32,12,117,1243,5,6511,627,473,347,508,320,90,14369
Palestine,2019,28,2907,0,48,307,14,8,391,20,500,7,31,12,124,1293,5,6710,649,488,359,522,326,92,14841
Philippines,2009,3210,56646,395,4832,14672,5516,200,9509,2048,50039,912,10882,3790,3406,18103,201,157518,23001,27871,11188,23143,7093,1652,435978
Philippines,2010,2928,58356,341,4729,14516,5192,204,9653,2023,50966,923,10349,3715,3489,18771,194,161854,24162,28388,11457,23406,7370,1708,444849
Philippines,2011,2846,60414,140,4751,14375,5499,210,9826,1986,52563,937,10136,3734,3577,19572,191,166853,25305,29112,11735,23790,7671,1780,457130
Philippines,2012,2902,63191,92,4889,14218,5373,221,10096,1970,54519,955,10035,3871,3683,20767,192,172643,26596,29877,12081,24332,7991,1873,472578
Philippines,2013,2726,65965,89,4885,14091,5298,234,10296,1973,55412,972,9590,3912,3786,22048,192,177293,27959,30228,12407,24768,8321,1955,484832
Philippines,2014,2653,68477,23,4886,14268,5241,248,10582,1950,56230,1000,9456,3938,3946,23285,192,182449,29284,30755,12675,25245,8611,2031,497897
Philippines,2015,2844,71673,46,4943,14694,5705,265,10515,1976,58162,1032,9407,3994,4138,24690,194,189416,30839,31541,13015,25882,8939,2133,516490
Philippines,2016,2496,74132,18,5006,15184,5434,278,10669,1953,58298,1054,9272,3886,4258,25551,196,193603,31698,32232,13333,26487,9299,2213,526965
Philippines,2017,2371,76389,41,4957,15521,5363,295,10828,1946,58702,1071,9078,3800,4393,26238,195,197124,32242,32555,13662,27035,9691,2277,536270
Philippines,2018,2176,78774,34,4845,15425,5292,311,10893,1898,58304,1088,8639,3681,4491,26962,193,200391,32766,32827,13949,27430,10056,2350,542775
Philippines,2019,2056,81321,46,4792,15570,5222,325,10945,1859,58413,1105,8392,3611,4569,27680,191,204311,33358,33229,14287,27945,10473,2429,552129
Qatar,2009,4,434,0,34,18,4,4,559,7,50,4,4,1,97,233,6,720,80,42,106,133,19,11,2570
Qatar,2010,5,467,0,36,20,4,4,597,8,53,4,4,1,108,239,6,739,83,44,112,140,20,11,2705
Qatar,2011,5,495,0,37,22,5,5,621,7,56,4,4,1,113,243,7,753,86,45,118,147,22,12,2808
Qatar,2012,5,527,0,38,23,5,5,638,7,58,5,5,1,117,247,7,782,89,47,123,154,24,12,2919
Qatar,2013,5,561,0,38,24,5,6,663,7,61,5,5,1,122,258,7,820,94,49,128,161,26,13,3059
Qatar,2014,5,598,0,38,25,4,6,665,7,64,5,5,1,125,269,7,859,100,52,135,170,28,14,3182
Qatar,2015,5,626,0,37,25,4,6,660,8,64,5,5,1,125,267,7,895,102,54,140,177,29,15,3257
Qatar,2016,5,665,0,37,24,4,6,669,6,65,5,5,1,126,274,7,926,107,56,147,185,31,15,3366
Qatar,2017,5,707,0,37,24,4,7,688,6,66,5,5,1,125,289,7,973,113,58,155,194,34,16,3519
Qatar,2018,5,767,0,37,26,4,7,706,6,68,6,5,1,128,316,7,1045,123,62,165,207,37,17,3745
Qatar,2019,5,831,0,38,27,4,8,737,6,70,6,6,1,131,345,7,1121,133,66,177,221,41,19,4000
Russia,2009,1820,294210,0,11896,33142,13357,10686,32789,411,42087,36302,511,453,54325,9991,9146,1156917,9920,40051,52671,93923,33526,8416,1946691
Russia,2010,1803,302621,0,11690,31777,14256,10443,32083,356,42266,33886,495,442,53740,10730,8825,1161661,10217,40315,54680,97573,34885,8709,1963684
Russia,2011,1711,291108,0,10260,28830,15609,9485,29669,331,39784,30734,491,402,49407,10986,7929,1087537,9913,38552,51591,93425,36275,8559,1852748
Russia,2012,1714,290925,0,9649,27111,15936,9125,28647,286,39050,28955,514,396,47740,12132,7470,1062214,10122,38402,50989,93597,37893,8735,1821763
Russia,2013,1661,291381,0,9098,26158,17136,8806,27036,271,38388,28007,502,399,46665,13741,7027,1037827,10375,38560,50979,94585,39475,8865,1797090
Russia,2014,1578,300031,0,8945,25463,18703,8538,26600,268,38711,28222,502,432,47121,16362,6884,1044400,10987,39953,53252,99066,41422,9157,1826664
Russia,2015,1466,301973,0,8172,24223,20968,7565,24602,243,36860,27643,475,456,44710,18584,6454,1028256,11351,40186,52409,98930,42768,9276,1807591
Russia,2016,1375,301809,0,7619,22308,23272,6832,22565,225,35326,27287,457,495,42575,20293,6118,1016533,11677,40040,50811,97536,44217,9371,1788805
Russia,2017,1235,291341,0,6884,20474,20506,6155,20767,193,32515,26754,431,483,39829,20605,5672,977433,11500,38540,47209,92509,45575,9228,1715899
Russia,2018,1180,291691,0,7038,21896,19549,6032,20961,207,32667,27719,427,459,39780,19153,5753,986406,11455,38653,46253,90836,47040,9260,1724415
Russia,2019,1143,296822,0,7086,22285,18682,5877,20867,206,32972,28460,423,455,39040,18746,5805,1004931,11652,39390,46102,90887,48437,9390,1749658
Saudi Arabia,2009,169,8663,0,644,286,487,115,16051,299,4036,71,384,70,984,2176,191,37703,5381,3184,2922,3812,1295,471,89399
Saudi Arabia,2010,173,8995,0,683,321,510,112,17029,302,4151,71,368,70,1118,2206,201,38274,5537,3258,2947,3843,1329,479,91977
Saudi Arabia,2011,170,9213,0,705,345,537,94,17698,296,4178,71,356,68,1294,2208,212,38295,5614,3299,2974,3872,1360,482,93344
Saudi Arabia,2012,171,9504,0,718,368,561,95,18338,289,4192,73,351,67,1410,2215,219,38504,5645,3312,3031,3942,1393,487,94889
Saudi Arabia,2013,172,9921,0,717,383,583,114,18683,285,4247,78,341,66,1464,2294,224,39159,5752,3354,3117,4045,1434,495,96929
Saudi Arabia,2014,173,10392,0,720,401,604,128,19183,280,4310,82,337,66,1527,2393,228,39738,5921,3405,3210,4159,1480,505,99262
Saudi Arabia,2015,171,10814,0,719,407,622,140,19526,271,4342,85,331,65,1574,2476,231,41019,6052,3431,3276,4233,1507,509,102014
Saudi Arabia,2016,174,11345,1,722,409,639,155,20009,265,4422,90,330,65,1624,2588,236,41765,6250,3491,3388,4367,1551,520,104568
Saudi Arabia,2017,176,11873,1,723,409,656,170,20491,256,4501,94,328,65,1672,2692,240,42897,6423,3552,3499,4499,1597,529,107374
Saudi Arabia,2018,177,12464,1,724,407,673,185,20937,249,4592,99,328,65,1729,2833,244,44248,6658,3628,3624,4648,1650,544,110707
Saudi Arabia,2019,180,13104,1,724,403,683,201,21316,245,4699,104,330,66,1791,2989,246,45837,6930,3723,3763,4819,1707,562,114423
Singapore,2009,8,5040,0,23,30,47,10,219,2,2214,10,19,1,471,293,4,5465,431,581,194,435,737,140,16374
Singapore,2014,5,5929,0,19,22,52,14,192,2,2814,12,29,1,464,155,3,5855,631,610,225,505,1063,185,18787
Singapore,2015,5,6073,0,19,22,36,15,186,2,2929,12,31,1,460,148,3,5963,663,621,230,517,1141,193,19270
Singapore,2016,5,6232,0,19,25,32,15,180,2,3045,12,33,1,459,147,3,6089,692,637,235,532,1217,204,19816
