Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Population_mln,Life_expectancy
Pakistan,Asia,2020,68.6,85,166.204,183.34,65.6
Bolivia,South America,2018,34.8,44.1,204.4305,9.88,67.5
Cambodia,Asia,2015,49.3,59.7,214.084,13.48,63.9
Malaysia,Asia,2015,7,8.1,129.376,26.2,73.7
Romania,European Union,2015,14.2,16.6,159.0955,21.19,72.2
Dominican Republic,Central America and Caribbean,2017,29.1,35.5,173.0485,9.46,71.6
Norway,Rest of Europe,2015,2.2,2.7,53.897,5.19,82.3
Italy,European Union,2023,3.8,4.5,64.2915,57.97,80.8
Vietnam,Asia,2015,17.4,21.8,124.547,92.68,75.1
Albania,Rest of Europe,2016,15.3,17.1,82.6975,2.97,75.6
Oman,Middle East,2022,9.7,11.3,92.6785,3.76,76.4
Czechia,European Union,2019,4.3,5.2,121.6575,10.22,75.2
Tonga,Oceania,2020,13.8,16,155.0705,0.1,69.8
"Congo, Rep.",Africa,2019,70.7,111.1,420.18,3.22,52.5
Slovenia,European Union,2019,2.6,3.2,86.192,2.05,79.4
Gabon,Africa,2019,52.3,81.4,321.9725,1.26,58
Zambia,Africa,2023,46,68.3,309.5495,15.4,60.8
Eswatini,Africa,2015,45.2,57.2,434.821,1.1,55.4
Togo,Africa,2018,75.7,119.9,331.9545,4.92,53.5
Dominican Republic,Central America and Caribbean,2023,28.8,35,163.0145,10.17,73
"Egypt, Arab Rep.",Africa,2019,35.2,43.9,174.899,70.15,68.8
Papua New Guinea,Oceania,2023,41.2,52.4,227.218,7.95,63.2
Ireland,European Union,2018,6,7.1,94.6415,3.81,76.5
Bhutan,Asia,2019,34.1,42.4,227.3425,0.69,68.4
Comoros,Africa,2019,72.1,100.2,270.665,0.56,59.5
Chile,South America,2023,6.9,8.1,90.433,17.76,79.5
Syrian Arab Republic,Middle East,2015,16.5,19.3,115.127,19.06,74.4
Cambodia,Asia,2018,40.2,47.5,198.62,14.09,66
Serbia,Rest of Europe,2022,8.4,9.7,145.094,7.46,72.7
Belgium,European Union,2020,4.4,5.4,95.81,10.33,78.1
Belize,Central America and Caribbean,2022,18.2,21.3,190.602,0.28,69.7
Costa Rica,Central America and Caribbean,2018,11.1,13.1,98.9985,3.96,77.5
Romania,European Union,2016,13,15.2,155.9065,20.88,72.6
Cuba,Central America and Caribbean,2017,5.4,6.7,96.542,11.24,78.2
Honduras,Central America and Caribbean,2023,17.1,20,147.875,8.96,74.3
Trinidad and Tobago,Central America and Caribbean,2016,21.7,24.4,184.093,1.31,71.2
Botswana,Africa,2022,42.1,72.7,528.2495,1.77,51.2
St. Vincent and the Grenadines,Central America and Caribbean,2023,18.9,21.5,173.295,0.11,71.3
Bolivia,South America,2021,47.8,63.3,227.5185,8.91,64.2
Paraguay,South America,2020,26.8,32.3,166.295,5.53,71
"Bahamas, The",Central America and Caribbean,2023,12.2,14.3,160.15,0.37,72.8
Costa Rica,Central America and Caribbean,2022,9.9,11.5,96.3765,4.23,78
Malta,European Union,2019,6.6,7.5,62.98,0.39,78.8
Malawi,Africa,2018,100.5,174.6,570.551,11.15,45.1
Finland,European Union,2015,3,3.6,94.799,5.27,79.2
Montenegro,Rest of Europe,2016,7.7,8.9,126.1335,0.62,74.3
"Egypt, Arab Rep.",Africa,2022,30.6,37.5,171.3545,74.17,69.3
United Arab Emirates,Middle East,2019,7.4,8.7,74.296,8.55,76.3
Iceland,Rest of Europe,2015,2.5,3.1,64.745,0.3,81.2
Malaysia,Asia,2022,6.8,8,124.668,29.47,75.1
Antigua and Barbuda,Central America and Caribbean,2020,11.9,14.6,152.267,0.08,74.4
Central African Republic,Africa,2020,108.5,165.8,551.1775,3.8,44.1
Timor-Leste,Oceania,2022,45.9,54.2,154.7555,1.15,68
Serbia,Rest of Europe,2019,6.6,7.6,127.7695,7.29,74.3
Hungary,European Union,2019,8.2,9.6,185.7405,10.19,72.2
Malaysia,Asia,2023,7,8.2,129.6545,25.69,73.6
Botswana,Africa,2015,39.6,49.7,248.595,2.12,67.3
Chad,Africa,2023,92.4,166.9,404.29,10.1,48.5
Malawi,Africa,2020,84.6,145.5,591.4675,11.71,45.5
Sierra Leone,Africa,2021,100.7,147.3,410.143,6.71,51
Mali,Africa,2023,88.1,156.4,302.4025,12.78,52.1
Bangladesh,Asia,2016,44.8,57.8,147.641,142.66,68.6
Latvia,European Union,2015,4.3,5,160.237,1.98,74.5
Angola,Africa,2020,114.5,191.5,350.8275,17.52,47.7
Jamaica,Central America and Caribbean,2021,17.6,20.7,162.465,2.71,74.1
Zambia,Africa,2023,61.9,106.2,521.085,11.86,48.5
Kyrgyz Republic,Asia,2020,38.8,45.2,223.718,4.99,68.2
Zimbabwe,Africa,2018,51.9,95.5,687.993,11.88,44.6
China,Asia,2021,23.4,28.8,105.496,1288.4,72.4
Nepal,Asia,2015,29.2,35.5,154.604,27.02,69.5
Chad,Africa,2022,93.9,170.4,407.207,9.73,48.3
Afghanistan,Asia,2023,55.2,73.6,231.978,33.37,63
Cuba,Central America and Caribbean,2019,6.8,8.5,109.7575,11.16,76.9
Tanzania,Africa,2023,41.9,59.9,255.4665,49.96,62.3
Ecuador,South America,2022,14.3,16.6,127.577,15.71,75.7
Djibouti,Africa,2020,60.9,74.4,265.328,0.85,60.7
Slovenia,European Union,2021,3.9,4.7,117.617,2,76.9
Grenada,Central America and Caribbean,2022,12.5,14.7,168.877,0.1,73.1
"Congo, Dem. Rep.",Africa,2015,73,95.9,260.0235,76.24,59.3
Cuba,Central America and Caribbean,2020,6.5,8.2,108.1925,11.2,77.1
Maldives,Asia,2022,9.7,11.3,72.3455,0.42,77
Cote d'Ivoire,Africa,2022,87.5,129.5,453.5475,17.97,49.8
Nigeria,Africa,2019,106.8,177.3,408.9835,125.39,46.5
Nicaragua,Central America and Caribbean,2017,22,26.1,166.1845,5.67,71.9
Grenada,Central America and Caribbean,2015,12.5,14.6,163.5385,0.1,73.1
Iraq,Middle East,2016,31.1,38.1,187.6105,27.91,68.1
Myanmar,Asia,2016,54.1,71.8,219.9305,49.62,62.3
Panama,Central America and Caribbean,2016,18.5,21.7,125.1955,3.45,76.2
Bahrain,Middle East,2020,7,8.2,70.3255,1.28,76.2
Djibouti,Africa,2019,78.2,98.6,321.3015,0.73,57.1
Japan,Asia,2022,2.8,3.9,68.9285,127.76,82
Namibia,Africa,2022,42.7,74.4,496.836,1.91,50.6
Cabo Verde,Africa,2019,28.4,34.4,149.3995,0.44,69.1
Uganda,Africa,2021,74.7,123.5,485.3535,25.98,49.4
Kazakhstan,Asia,2016,23.8,26.8,267.527,15.48,66.3
St. Lucia,Central America and Caribbean,2021,18.1,20.4,141.425,0.18,75.1
Cabo Verde,Africa,2018,31.1,38.1,157.104,0.43,68.6
Germany,European Union,2017,3.6,4.4,79.5175,82.11,79.7
Belarus,Rest of Europe,2015,3.1,4.1,163.872,9.46,73.6
Honduras,Central America and Caribbean,2019,19.8,23.3,153.912,8.32,73.3
Senegal,Africa,2023,53.2,91.8,237.7735,11.09,60.6
Cameroon,Africa,2016,74.6,121,371.415,18.73,53.7
Philippines,Asia,2021,24.2,30.9,204.619,97.21,70.1
Maldives,Asia,2018,12.8,14.9,77.1955,0.35,75.5
Nicaragua,Central America and Caribbean,2015,23.9,28.5,173.308,5.51,71.4
Mongolia,Asia,2021,38.9,49.1,260.269,2.47,64.2
Iraq,Middle East,2019,34.9,43.5,165.8675,24.21,69
Haiti,Central America and Caribbean,2020,57.6,77.4,257.386,10.1,60.9
Uruguay,South America,2022,8.3,9.7,107.92,3.39,77.1
Azerbaijan,Asia,2016,39.1,45.5,141.6765,8.58,69.8
Pakistan,Asia,2020,80.9,102.4,185.0715,149.55,63.3
Singapore,Asia,2018,3,3.9,80.151,4.03,78
Angola,Africa,2015,57.7,88.1,242.9655,27.88,59.4
Azerbaijan,Asia,2022,47,55.6,155.0385,8.31,68.2
Solomon Islands,Oceania,2023,19.9,23.4,151.628,0.59,71.9
Ukraine,Rest of Europe,2015,8.1,9.5,202.8,45.15,71.2
Senegal,Africa,2015,50.6,85.2,233.387,11.38,61.4
Bhutan,Asia,2021,31,38,220.149,0.7,69.3
Azerbaijan,Asia,2021,28.5,32.5,132.0885,9.3,71.5
Serbia,Rest of Europe,2021,9.1,10.5,147.6935,7.48,72.4
Niger,Africa,2018,64.8,130.3,270.291,15.84,56.6
Haiti,Central America and Caribbean,2019,102.6,203.6,262.206,9.95,60.5
Slovak Republic,European Union,2015,6.6,7.9,136.22,5.37,74.2
"Bahamas, The",Central America and Caribbean,2016,14.1,16.5,174.6025,0.34,72
Finland,European Union,2023,3.1,3.7,99.9665,5.25,78.8
Denmark,European Union,2022,4.3,5.2,95.0035,5.4,77.5
Tunisia,Africa,2019,15.8,18.4,98.3545,10.64,75
Thailand,Asia,2016,13.4,15.6,168.9115,66.18,72.9
France,European Union,2018,3.1,4.3,86.8955,64.71,81.4
Samoa,Oceania,2022,16.2,18.9,117.105,0.19,72.4
Nepal,Asia,2023,45.9,59.4,203.6355,25.74,65.3
Panama,Central America and Caribbean,2022,15.5,18.1,117.765,3.84,77.4
Ireland,European Union,2020,3.5,4.1,68.994,4.58,80.7
"Yemen, Rep.",Middle East,2019,65.8,90.3,251.422,17.92,61.2
Germany,European Union,2016,3.7,4.5,80.746,82.27,79.5
Tajikistan,Asia,2019,36.9,42.7,143.711,7.53,68.7
Nicaragua,Central America and Caribbean,2023,24.9,29.9,177.622,5.44,71.2
Costa Rica,Central America and Caribbean,2015,7.7,9.1,85.6715,4.85,79.6
Chad,Africa,2020,96.8,177.1,413.041,9.02,47.9
Libya,Africa,2020,14.9,19.4,136.8525,6.25,72
Norway,Rest of Europe,2022,3.4,4.2,74.4275,4.59,79.8
France,European Union,2020,3.1,4.2,82.572,65.34,82.1
Honduras,Central America and Caribbean,2016,22.4,26.7,158.902,7.81,72.5
Iraq,Middle East,2015,31.8,39.1,183.716,27.45,68.2
St. Lucia,Central America and Caribbean,2017,16.6,19,148.7125,0.17,74.6
Paraguay,South America,2018,22.6,26.9,153.271,6.16,72.5
Sweden,European Union,2018,2.6,3.1,60.608,9.3,81.4
Bulgaria,European Union,2020,13.2,15.9,156.0455,7.84,71.9
Slovenia,European Union,2022,3.7,4.4,111.937,2,77.2
Montenegro,Rest of Europe,2020,5.1,6.1,110.706,0.62,76
Madagascar,Africa,2015,53.9,81.3,261.1205,18.88,61.7
Zimbabwe,Africa,2020,50.8,80.8,466.265,12.89,52.9
Romania,European Union,2020,10,11.8,139.7255,20.15,74.4
Senegal,Africa,2022,37.6,55.4,197.0095,13.78,65.9
Netherlands,European Union,2023,4.4,5.3,72.132,16.32,79.3
Romania,European Union,2020,17,20.1,171.852,21.73,71
Estonia,European Union,2023,5.7,7.2,186.7535,1.35,72.6
Liberia,Africa,2018,127.9,189.7,316.589,2.85,51.7
Ethiopia,Africa,2021,49.5,73.5,239.3415,92.73,63.3
Brunei Darussalam,Asia,2017,7.7,9.5,91.9455,0.38,74.5
Benin,Africa,2017,72.2,113.7,259.34,8.7,58.7
Germany,European Union,2020,3.4,4.1,75.779,80.27,80.4
Latvia,European Union,2021,5.6,6.6,165.2735,2.03,73.8
"Congo, Dem. Rep.",Africa,2023,95.2,136.1,311.914,54.79,53.7
Israel,Middle East,2015,3.2,3.9,56.337,8.38,82.1
Seychelles,Africa,2020,11.8,13.7,175.73,0.08,71.1
"Yemen, Rep.",Middle East,2023,54.8,73,246.5985,20.11,63.5
New Zealand,Oceania,2015,4.6,5.5,67,4.61,81.5
Comoros,Africa,2021,71.7,99.6,267.1495,0.58,59.7
New Zealand,Oceania,2021,4.9,5.9,67.5135,4.41,81.2
Croatia,European Union,2018,4.9,5.7,103.109,4.31,76.2
Turkiye,Middle East,2022,23.6,28.2,131.274,67.01,72
Nepal,Asia,2020,35,43.6,172.406,27.04,68
Azerbaijan,Asia,2019,57.2,69.3,166.736,8.11,67.1
France,European Union,2018,4.1,5.4,99.7875,60.91,79.1
Germany,European Union,2023,3.3,4,70.358,80.98,81.1
Croatia,European Union,2021,6.3,7.3,117.911,4.3,74.6
Kyrgyz Republic,Asia,2015,32.7,37.5,221.7345,5.22,67.7
Vanuatu,Oceania,2015,23.8,28.4,157.5085,0.21,68.5
Tonga,Oceania,2023,10.8,12.5,135.663,0.1,70.4
Sweden,European Union,2022,2.4,2.9,55.5025,9.6,82
Mauritania,Africa,2019,68.9,112.1,228.7,2.7,60.8
Nicaragua,Central America and Caribbean,2019,20.3,23.9,160.5665,5.82,72.4
Tanzania,Africa,2017,51,79.6,345.9945,41.85,56.8
Latvia,European Union,2016,7.7,9.3,220.941,2.2,71
"Congo, Rep.",Africa,2022,60.7,93.3,390.9155,3.51,54.7
Seychelles,Africa,2015,11.9,13.8,162.877,0.08,72.2
Rwanda,Africa,2016,54.4,84.4,285.3095,9.27,58.9
Bosnia and Herzegovina,Rest of Europe,2019,8.4,9.6,118.2535,3.76,74.6
Italy,European Union,2018,3.4,4.1,59.186,59.1,81.6
Sao Tome and Principe,Central America and Caribbean,2022,22,27.7,194.199,0.19,68.7
India,Asia,2019,45.1,58.2,191.5935,1234.28,66.7
Guinea-Bissau,Africa,2021,95.9,156.8,302.471,1.28,51.5
Guatemala,Central America and Caribbean,2021,26.5,32,170.1225,14.78,72.2
Cyprus,European Union,2015,3.6,4.2,62.643,1.05,78.8
Germany,European Union,2018,3.5,4.3,78.907,81.9,79.8
Chad,Africa,2015,75.7,128.7,363.167,14.11,53.1
"Venezuela, RB",South America,2017,14.7,17.2,150.294,27.64,73.1
Ireland,European Union,2022,3.3,3.9,64.5655,4.62,80.9
Solomon Islands,Oceania,2015,19.3,22.7,148.087,0.6,72.2
Argentina,South America,2020,16.4,18.3,136.066,37.68,73.9
Spain,European Union,2015,3.7,4.5,73.3,44.4,80.8
Gabon,Africa,2020,40.4,59.3,266.645,1.68,62.2
Montenegro,Rest of Europe,2023,3.7,4.4,102.857,0.62,76.4
Serbia,Rest of Europe,2022,5.9,6.9,119.055,7.16,75.2
Portugal,European Union,2022,3,3.7,78.8295,10.46,80.7
Somalia,Africa,2018,104.4,172.7,355.929,8.87,50.9
"Gambia, The",Africa,2015,51.5,87.6,285.0805,1.59,58.3
Niger,Africa,2021,57,108.2,261.2055,17.8,58.8
Cambodia,Asia,2016,46.2,55.4,206.6325,13.68,64.7
Kiribati,Oceania,2015,49.7,65.1,212.398,0.09,64.7
Equatorial Guinea,Africa,2021,99,142.8,332.349,0.69,54.1
Israel,Middle East,2018,3.8,4.7,61.931,7.49,81.4
Kuwait,Middle East,2020,10.3,12,87.276,2.14,73.3
St. Vincent and the Grenadines,Central America and Caribbean,2022,19,21.6,176.2405,0.11,71.2
Zambia,Africa,2019,85.3,146.9,598.586,10.69,44.6
St. Vincent and the Grenadines,Central America and Caribbean,2018,18.2,20.4,163.6655,0.11,71.7
Dominican Republic,Central America and Caribbean,2022,28.8,35,164.4115,10.05,72.8
Jamaica,Central America and Caribbean,2023,13.8,16,133.3495,2.88,74
"Iran, Islamic Rep.",Middle East,2017,18.5,21.7,121.2965,72.12,73
Eritrea,Africa,2023,46.1,67.5,336.291,2.83,58.7
Lao PDR,Asia,2019,51.8,68.3,217.0295,6.25,64.3
Netherlands,European Union,2019,5,6.1,81.98,16.05,78.2
Bangladesh,Asia,2020,37.2,46.7,139.3125,149.27,70.3
Mexico,North America,2020,21.9,26,126.16,101.68,74.9
"Iran, Islamic Rep.",Middle East,2018,29.7,36.2,151.603,65.62,70.2
Iraq,Middle East,2015,24.8,29.7,162.9175,35.57,69.9
Lebanon,Middle East,2016,10.4,12.1,73.269,4.77,77.6
Pakistan,Asia,2015,75.4,94.5,179.458,164.02,64.2
Guinea-Bissau,Africa,2015,60,92.1,270.2885,1.74,57
Thailand,Asia,2022,15.5,18,184.5775,65,71.7
Guatemala,Central America and Caribbean,2019,28.6,34.8,177.598,14.26,71.5
Kyrgyz Republic,Asia,2016,31.2,35.7,221.239,5.27,67.9
Austria,European Union,2021,3.3,4,69.0215,8.43,80.9
Mali,Africa,2022,70.6,116.6,277.2635,16.45,56.6
Bahrain,Middle East,2023,9.1,10.6,77.801,0.89,75.3
Russian Federation,Rest of Europe,2020,8.1,10.1,238.2245,142.96,69.7
Guinea-Bissau,Africa,2023,89.2,144.5,299.375,1.34,52.3
Turkmenistan,Asia,2015,42.3,49.6,214.822,4.81,65.4
St. Lucia,Central America and Caribbean,2018,16.9,19.3,146.8905,0.17,74.7
Belarus,Rest of Europe,2021,3.7,4.9,192.409,9.45,72
Portugal,European Union,2016,3.3,4.2,91.6555,10.54,78.3
Vanuatu,Oceania,2018,23.9,28.5,181.1765,0.18,67.4
"Micronesia, Fed. Sts.",Oceania,2021,26.2,31.6,169.018,0.1,66.8
Pakistan,Asia,2016,74.1,92.7,178.0545,167.81,64.4
Malawi,Africa,2023,65,110.5,528.961,12.63,47.8
Indonesia,Asia,2020,37.8,47.6,192.0885,217.36,66.3
Afghanistan,Asia,2022,57.3,76.9,236.221,32.27,62.5
United States,North America,2018,7.1,8.4,113.6425,282.16,76.6
Vanuatu,Oceania,2022,23.6,28.1,164.9795,0.2,68.2
Sao Tome and Principe,Central America and Caribbean,2015,36.6,50.9,204.863,0.16,65.3
Zambia,Africa,2020,50.1,76.8,352.9365,14.02,57.1
Papua New Guinea,Oceania,2017,46.8,60.8,238.9705,6.98,61.4
Dominican Republic,Central America and Caribbean,2019,31.7,39,185.7315,8.6,69.7
Equatorial Guinea,Africa,2020,76.7,107.4,327.4155,0.99,55.9
Peru,South America,2019,15.3,19.8,132.268,29.03,74.4
Myanmar,Asia,2020,62.3,84.7,234.2095,47.7,60.7
"Congo, Dem. Rep.",Africa,2021,79.1,106.1,272.347,69.02,57.9
Libya,Africa,2023,19.8,23.1,135.266,5.8,71.9
Indonesia,Asia,2017,30,36.7,186.9555,235.47,68.5
Sierra Leone,Africa,2015,120.9,188.9,459.6215,5.83,45.5
Spain,European Union,2022,3.9,4.9,77.449,42.92,79.9
Armenia,Rest of Europe,2020,24.5,27.7,138.447,3.03,72.1
Hungary,European Union,2018,5.2,6.2,163.682,10.02,73.9
"Congo, Rep.",Africa,2023,56.8,86.4,375.1285,3.62,55.6
"Yemen, Rep.",Middle East,2019,45.5,58.8,235.0695,23.15,65.5
Trinidad and Tobago,Central America and Caribbean,2019,20.1,22.5,177.125,1.33,71.9
Albania,Rest of Europe,2023,17.8,20,84.4915,3.01,75.2
Israel,Middle East,2023,3.2,4,56.744,8.22,82.2
Colombia,South America,2018,21.2,25.1,170.6395,39.63,72.9
Honduras,Central America and Caribbean,2020,27.8,33.7,167.5135,6.93,71.2
Mozambique,Africa,2016,78,118.8,402.122,21.67,50.9
Central African Republic,Africa,2019,109.2,167.4,541.331,3.72,44.1
Kazakhstan,Asia,2021,30.8,35.2,281.374,14.91,65.7
Kiribati,Oceania,2022,46.8,60.8,202.588,0.11,66.7
Ethiopia,Africa,2019,54.3,82,266.317,87.64,61.6
United Kingdom,Rest of Europe,2022,4,4.7,69.542,64.13,81
Belize,Central America and Caribbean,2023,17.9,20.9,187.653,0.28,70
Kuwait,Middle East,2021,10.1,11.8,85.484,2.16,73.4
Niger,Africa,2019,93.7,215.2,290.6955,11.75,50.6
Kuwait,Middle East,2019,10.5,12.2,88.2055,2.1,73.2
St. Vincent and the Grenadines,Central America and Caribbean,2021,16.8,18.6,158.0595,0.11,71.9
Morocco,Africa,2019,26.8,31.2,82.9485,32.34,74.4
Greece,European Union,2022,4.3,4.9,79.534,10.96,79
Ireland,European Union,2021,3.4,4,67.3805,4.6,80.8
Benin,Africa,2016,73.6,116.2,261.384,8.45,58.3
Luxembourg,European Union,2019,3.5,4.2,94.658,0.44,77.8
Mali,Africa,2018,101.5,187.4,328.1605,10.95,48.1
Namibia,Africa,2022,35.8,49.1,341.1665,2.23,60.5
Uruguay,South America,2023,8,9.3,106.8025,3.4,77.2
Djibouti,Africa,2018,64.2,78.8,279.1605,0.83,59.6
Seychelles,Africa,2022,12.5,14.5,152.634,0.09,73.1
Turkiye,Middle East,2023,11.9,13.8,107.701,77.23,76.2
Sri Lanka,Asia,2020,9.4,10.9,117.8205,20.4,75.6
Mexico,North America,2018,17,19.9,119.005,112.46,75.1
Cuba,Central America and Caribbean,2022,4.7,5.9,91.899,11.28,78.5
France,European Union,2021,3.6,4.9,97.437,62.24,79.1
Uganda,Africa,2021,44.3,66.7,326.2865,34.56,59
Eswatini,Africa,2018,57.9,96,531.8035,1.06,45.3
Mongolia,Asia,2020,42,53.7,263.9875,2.44,63.8
Nigeria,Africa,2021,100.8,165.9,406.792,131.9,47.2
